time,ElementInt_c,_dt,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
19.8265625,32483840.024401,0.3796875,36,1,16384,6.1215542123703,-0.25828894322141,1.2958367092952,-78598.85573205,-0.51657788644282,-78608.507167057
20.20625,33105920.02426,0.3796875,36,1,16384,6.3579662250228,-0.26868160031468,1.3454604131197,-81638.088573095,-0.53736320062936,-81648.113584719
20.5859375,33728000.024508,0.3796875,36,1,16384,6.598901659576,-0.27916566543148,1.3960975325435,-84734.971871447,-0.55833133086296,-84745.377479701
20.965625,34350080.024656,0.3796875,36,1,16384,6.844355860808,-0.28977669735158,1.4477365262833,-87889.50565022,-0.57955339470315,-87900.298888889
21.3453125,34972160.024464,0.3796875,36,1,16384,7.0943250292049,-0.30053585773932,1.5003661166717,-91101.689930816,-0.60107171547864,-91112.877848641
21.725,35594240.024242,0.3796875,36,1,16384,7.3488022545915,-0.31145531929803,1.5539770879302,-94371.52474473,-0.62291063859606,-94383.114395064
22.1046875,36216320.024102,0.3796875,36,1,16384,7.6077815343148,-0.32254348749826,1.6085630618757,-97699.010116938,-0.64508697499651,-97711.008553883
22.484375,36838400.024132,0.3796875,36,1,16384,7.8712635889321,-0.33380591359457,1.6641180286317,-101084.1460518,-0.66761182718914,-101096.56034292
22.8640625,37460480.024074,0.3796875,36,1,16384,8.1392455134678,-0.34524725957465,1.7206383667823,-104526.93256026,-0.6904945191493,-104539.76977455
23.24375,38082560.024103,0.3796875,36,1,16384,8.411725202157,-0.35686976676006,1.7781202568766,-108027.36965342,-0.71373953352011,-108040.63686331
23.6234375,38704640.023875,0.3796875,36,1,16384,8.6886988118464,-0.36867536505331,1.8365616895122,-111585.45734286,-0.73735073010662,-111599.1616171
24.003125,39326720.023483,0.3796875,36,1,16384,8.9701644127661,-0.38066555964489,1.8959601516294,-115201.19563735,-0.76133111928977,-115215.34404587
24.3828125,39948800.023436,0.3796875,36,1,16384,9.2561252010894,-0.39284152078453,1.9563140952069,-118874.58453184,-0.78568304156907,-118889.18415406
24.7625,40570880.023214,0.3796875,36,1,16384,9.5465757474263,-0.40520373349629,2.0176222692491,-122605.62404083,-0.81040746699258,-122620.68194779
25.1421875,41192960.023163,0.3796875,36,1,16384,9.8415177656229,-0.41775327569506,2.0798838039891,-126394.31416212,-0.83550655139011,-126409.83743004
25.521875,41815040.022888,0.3796875,36,1,16384,10.140951069638,-0.43049050098561,2.1430972112745,-130240.65489532,-0.86098100197121,-130256.65060304
25.9015625,42437120.022837,0.3796875,36,1,16384,10.444874318766,-0.44341560872249,2.2072625422562,-134144.6462472,-0.88683121744498,-134161.12147075
26.28125,43059200.02258,0.3796875,36,1,16384,10.753286135064,-0.45652944490914,2.2723790793549,-138106.2882199,-0.91305888981829,-138123.25003401
26.6609375,43681280.022364,0.3796875,36,1,16384,11.066187026689,-0.46983191319433,2.3384463829182,-142125.58081389,-0.93966382638865,-142143.03629518
27.040625,44303360.021964,0.3796875,36,1,16384,11.383573103458,-0.48332338858561,2.4054635219474,-146202.5240403,-0.96664677717122,-146220.48025946
27.4203125,44925440.021999,0.3796875,36,1,16384,11.705449537229,-0.49700392745352,2.4734299214037,-150337.11788827,-0.99400785490705,-150355.58192751
27.8,45547520.022289,0.3796875,36,1,16384,12.031813796544,-0.51087339130906,2.5423456751562,-154529.36236421,-1.0217467826181,-154548.34130046
28.1796875,46169600.022197,0.3796875,36,1,16384,12.362664361452,-0.52493250027481,2.6122101018799,-158779.25746906,-1.0498650005496,-158798.75837758
28.559375,46791680.022289,0.3796875,36,1,16384,12.698002333189,-0.53918082304307,2.6830226182667,-163086.80320392,-1.0783616460861,-163106.83316335
28.9390625,47413760.022048,0.3796875,36,1,16384,13.037824665323,-0.5536189433842,2.7547834013996,-167451.99957416,-1.1072378867684,-167472.56565669
29.31875,48035840.021815,0.3796875,36,1,16384,13.382132109414,-0.56824714187944,2.8274919318849,-171874.84658039,-1.1364942837589,-171895.95586074
29.6984375,48657920.021815,0.3796875,36,1,16384,13.730925559868,-0.58306474001348,2.9011475928386,-176355.34422218,-1.166129480027,-176377.00377811
30.078125,49280000.021992,0.3796875,36,1,16384,14.08420349941,-0.59807195172129,2.9757503700029,-180893.49250376,-1.1961439034426,-180915.70941002
30.4578125,49902080.021654,0.3796875,36,1,16384,14.441964559367,-0.61326891189388,3.0512994122989,-185489.29142496,-1.2265378237878,-185512.07275525
30.8375,50524160.021423,0.3796875,36,1,16384,14.804205850635,-0.62865522505762,3.1277941740334,-190142.74099956,-1.2573104501152,-190166.09382292
31.2171875,51146240.021406,0.3796875,36,1,16384,15.170929683748,-0.64423212639518,3.2052337313907,-194853.8412224,-1.2884642527904,-194877.7726143
31.596875,51768320.021046,0.3796875,36,1,16384,15.542132057865,-0.65999809924682,3.2836171491565,-199622.59210216,-1.3199961984936,-199647.10913197
31.9765625,52390400.021066,0.3796875,36,1,16384,15.917812834683,-0.67595384226428,3.3629439391885,-204448.9936453,-1.3519076845286,-204474.10338309
32.35625,53012480.021152,0.3796875,36,1,16384,16.29796854186,-0.69209943892742,3.4432129401001,-209333.04586103,-1.3841988778548,-209358.75537223
32.7359375,53634560.021511,0.3796875,36,1,16384,16.682599987891,-0.70843484585384,3.5244215432819,-214274.7487512,-1.4168696917077,-214301.06510808
33.115625,54256640.021667,0.3796875,36,1,16384,17.071700248368,-0.72495992376878,3.6065691304903,-219274.10233343,-1.4499198475376,-219301.03259566
33.4953125,54878720.021654,0.3796875,36,1,16384,17.465266586631,-0.74167360678733,3.6896520046445,-224331.10661985,-1.4833472135747,-224358.65784901
33.875,55500800.021798,0.3796875,36,1,16384,17.86329599472,-0.75857660862682,3.7736678966892,-229445.7616244,-1.5171532172536,-229473.94088059
34.2546875,56122880.021579,0.3796875,36,1,16384,18.265777798523,-0.77566839875924,3.8586119525305,-234618.06737965,-1.5513367975185,-234646.88171135
34.634375,56744960.021407,0.3796875,36,1,16384,18.672703114786,-0.79294748443448,3.9444785841314,-239848.02392121,-1.585894968869,-239877.48037027
35.0140625,57367040.021158,0.3796875,36,1,16384,19.08406055495,-0.81041274419168,4.0312600921352,-245135.6312899,-1.6208254883834,-245165.73689082
35.39375,57989120.021429,0.3796875,36,1,16384,19.499835534669,-0.82806399751532,4.1189452146956,-250480.88954585,-1.6561279950306,-250511.65132649
35.7734375,58611200.021441,0.3796875,36,1,16384,19.920000573295,-0.84589764189663,4.2075187832181,-255883.79878004,-1.6917952837933,-255915.22374362
36.153125,59233280.021459,0.3796875,36,1,16384,20.344518559013,-0.86391015869997,4.296958681987,-261344.35912818,-1.7278203173999,-261376.45424793
36.5328125,59855360.021243,0.3796875,36,1,16384,20.773341429078,-0.88209596579099,4.3872316026653,-266862.57076561,-1.764191931582,-266895.34298526
36.9125,60477440.021149,0.3796875,36,1,16384,21.206383345804,-0.90044509431148,4.4782876902071,-272438.43400286,-1.800890188623,-272471.89019418
37.2921875,61099520.020804,0.3796875,36,1,16384,21.643516566505,-0.91894294353818,4.5700455831754,-278071.94930116,-1.8378858870764,-278106.09624313
37.671875,61721600.020382,0.3796875,36,1,16384,22.084527929543,-0.9375614110277,4.6623710839424,-283763.11743571,-1.8751228220554,-283797.96174941
38.0515625,62343680.020912,0.3796875,36,1,16384,22.529049131275,-0.95625065520276,4.755031568946,-289511.93975359,-1.9125013104055,-289547.48778872
38.43125,62965760.021166,0.3796875,36,1,16384,22.976379234914,-0.9749095917939,4.847592414214,-295318.41878097,-1.9498191835878,-295354.67635461
38.8109375,63587840.021473,0.3796875,36,1,16384,23.425170424135,-0.99338415134758,4.9392517265916,-301182.55936625,-1.9867683026952,-301219.53120365
39.190625,64209920.022109,0.3796875,36,1,16384,23.87233693883,-1.0111821911764,5.0281619456056,-307104.3726169,-2.0223643823528,-307142.06096689
39.5703125,64832000.02202,0.3796875,36,1,16384,48.874114636389,-1.8730965317473,4.9977808331354,-313010.30635752,-3.7461930634945,-313098.05902512
39.95,65454080.021888,0.3796875,36,1,16384,50.099939270711,-1.9960255912312,5.1960311929218,-319045.00436448,-3.9920511824624,-319134.81218063
40.3296875,66076160.021746,0.3796875,36,1,16384,25.311682644436,-1.0203799456212,5.3704658216982,-325215.4334699,-2.0407598912425,-325255.31590354
40.709375,66698240.021707,0.3796875,36,1,16384,25.809675943944,-1.0617770756964,5.4713978708156,-331367.74236816,-2.1235541513929,-331408.41892431
41.0890625,67320320.022294,0.3796875,36,1,16384,26.305054869185,-1.0934531395259,5.5697541901511,-337577.72673062,-2.1869062790517,-337619.19733198
41.46875,67942400.02196,0.3796875,36,1,16384,26.783001704176,-1.1232196964535,5.6743415551928,-343845.42218816,-2.246439392907,-343887.63950846
41.8484375,68564480.022257,0.3796875,36,1,16384,27.274028352717,-1.1480934345915,5.7757228115435,-350170.74665781,-2.296186869183,-350213.7432689
42.228125,69186560.022203,0.3796875,36,1,16384,27.769652130292,-1.1716960294897,5.878399391836,-356553.72107625,-2.3433920589793,-356597.50358173
42.6078125,69808640.022158,0.3796875,36,1,16384,28.269962350005,-1.1946619898207,5.9824350577074,-362994.34511542,-2.3893239796415,-363038.92017
42.9875,70430720.02221,0.3796875,36,1,16384,28.774957425342,-1.2173216674004,6.0877793164549,-369492.61883151,-2.4346433348007,-369537.99318772
43.3671875,71052800.021973,0.3796875,36,1,16384,29.284606825752,-1.2398542334664,6.1943604918915,-376048.54238371,-2.4797084669327,-376094.72287638
43.746875,71674880.022084,0.3796875,36,1,16384,29.798879019541,-1.2623652123671,6.3021153102048,-382662.11593663,-2.5247304247341,-382709.10946405
44.1265625,72296960.022169,0.3796875,36,1,16384,30.317747534374,-1.2849190701128,6.4109938836619,-389333.33961562,-2.5698381402256,-389381.15312292
44.50625,72919040.022182,0.3796875,36,1,16384,30.841190296163,-1.3075583822198,6.5209584833573,-396062.21352415,-2.6151167644395,-396110.85398778
44.8859375,73541120.02224,0.3796875,36,1,16384,31.369189912038,-1.3303106994639,6.6319798385843,-402848.73774493,-2.6606213989277,-402898.21216508
45.265625,74163200.022255,0.3796875,36,1,16384,31.901734018315,-1.353195346125,6.7440358318775,-409692.91233619,-2.7063906922501,-409743.22773256
45.6453125,74785280.022171,0.3796875,36,1,16384,32.438809672613,-1.3762258021458,6.8571105254938,-416594.73735206,-2.7524516042916,-416645.90075035
46.025,75407360.022274,0.3796875,36,1,16384,32.980405201187,-1.3994112309169,6.9711892387299,-423554.21284544,-2.7988224618339,-423606.23127737
46.4046875,76029440.022533,0.3796875,36,1,16384,33.526519823613,-1.4227592982009,7.0862629500046,-430571.33882739,-2.8455185964018,-430624.21934114
46.784375,76651520.022418,0.3796875,36,1,16384,34.077147581258,-1.4462760824992,7.2023231838687,-437646.11531826,-2.8925521649983,-437699.86496706
47.1640625,77273600.022457,0.3796875,36,1,16384,34.632277051254,-1.4699640114971,7.319363471758,-444778.54236475,-2.9399280229942,-444833.16819191
47.54375,77895680.022557,0.3796875,36,1,16384,35.191909899997,-1.4938271695973,7.4373786300845,-451968.619966,-2.9876543391945,-452024.12902854
47.9234375,78517760.022462,0.3796875,36,1,16384,35.756041365137,-1.517868482706,7.5563628863463,-459216.34813911,-3.0357369654121,-459272.74749607
48.303125,79139840.022016,0.3796875,36,1,16384,36.32467218089,-1.5420900371354,7.676313894446,-466521.72688232,-3.0841800742709,-466579.02359889
48.6828125,79761920.021948,0.3796875,36,1,16384,36.897799430601,-1.5664920404649,7.7972285451993,-473884.75621607,-3.1329840809299,-473942.95735784
49.0625,80384000.021901,0.3796875,36,1,16384,37.475419103629,-1.5910770734394,7.9191035689904,-481305.43615146,-3.1821541468787,-481364.54878253
49.4421875,81006080.021752,0.3796875,36,1,16384,38.0575303918,-1.6158450697423,8.0419382693691,-488783.76669016,-3.2316901394845,-488843.7978744
49.821875,81628160.021735,0.3796875,36,1,16384,38.644128654405,-1.6407983803909,8.1657302818049,-496319.74785126,-3.2815967607818,-496380.70464801
50.2015625,82250240.021532,0.3796875,36,1,16384,39.235213000273,-1.6659370033165,8.2904772651595,-503913.37963592,-3.331874006633,-503975.26910739
50.58125,82872320.02138,0.3796875,36,1,16384,39.830786014022,-1.6912604118606,8.4161781053714,-511564.66204037,-3.3825208237211,-511627.49125619
50.9609375,83494400.021351,0.3796875,36,1,16384,40.430847238457,-1.7167707527978,8.5428312721838,-519273.59506844,-3.4335415055955,-519337.37110037
51.340625,84116480.021293,0.3796875,36,1,16384,41.035388858156,-1.7424684685361,8.6704364844004,-527040.17874197,-3.4849369370722,-527104.90864671
51.7203125,84738560.021205,0.3796875,36,1,16384,41.644411294287,-1.768352447721,8.7989909301155,-534864.41306248,-3.5367048954421,-534930.1039032
52.1,85360640.02128,0.3796875,36,1,16384,42.25791151288,-1.794423432588,8.928493804504,-542746.29804233,-3.5888468651759,-542812.95687775
