time,ElementInt_c,W,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
1400.420294217,928947110.90165,37155262996.066,0,1,65536,749.53509361394,-27.134483300504,261.31066727698,-4015880.3318954,-54.268966601009,-4016856.7807481
1434.5863982665,951091734.73208,38041047949.283,0,1,65536,1111.8496542388,-43.548312519692,-3.6475888887111e-06,-4208922.3125538,-87.096625039384,-4211146.0118696
1460.2109763037,966454805.31013,38655570772.405,0,1,65536,1150.2971653368,-44.980359189772,1.8965202386312e-07,-4345988.0044743,-89.960718379544,-4348288.5988046
1485.8355543408,982771377.81764,39308233672.706,0,1,65536,1190.3580279771,-46.614800992915,1.7418793873958e-07,-4493969.9523969,-93.229601985829,-4496350.6684525
1524.2724213966,1007693190.5899,40305106183.595,0,1,65536,1252.3647074876,-49.165513137864,4.9160554738137e-08,-4724779.8021055,-98.331026275727,-4727284.5315204
1553.1000716883,1024977783.8523,40996489914.091,0,1,65536,1295.9183842041,-51.005696042109,4.9115300271296e-08,-4888254.0703246,-102.01139208422,-4890845.9070929
1581.9277219801,1043334307.5424,41730750861.695,0,1,65536,1342.7389029076,-53.001982176712,-9.9721212620807e-08,-5064911.3224063,-106.00396435342,-5067596.8002123
1625.1691974178,1071371560.4486,42852240977.945,0,1,65536,1415.0878273154,-56.180342825008,4.1970322328666e-07,-5340787.3825507,-112.36068565002,-5343617.5582045
1657.6003039961,1090816754.5728,43630048742.91,0,1,65536,1461.7243754059,-59.829496552925,7.1182189032015e-09,-5536430.9032378,-119.65899310585,-5539354.3519886
1690.0314105744,1111467852.6126,44456092664.503,0,1,65536,1076.9917231577,-38.722157705233,375.08442166159,-5748990.88587,-77.444315410465,-5750394.700473
1738.6780704418,1143009767.1463,45717769245.853,0,1,65536,1610.754447992,-62.985762745996,-3.8848753547427e-08,-6078898.9399586,-125.97152549199,-6082120.4488547
1756.9205678921,1155919058.814,46234140912.559,0,1,65536,1655.1405937837,-64.558475309509,1.6227842536409e-07,-6216962.6090739,-129.11695061902,-6220272.8902611
1775.1630653423,1168192424.8116,46725075552.466,0,1,65536,1185.5095779541,-45.12870219021,9.9102147288477e-07,-6351199.8516377,-90.25740438042,-6353570.8707916
1802.5268115178,1186304383.6188,47449553904.752,0,1,65536,1223.3795800877,-46.718622851926,1.4920027524568e-07,-6549665.3984307,-93.437245703852,-6552112.1575906
1843.5724307809,1213304646.1108,48529564404.432,0,1,65536,1279.9063435259,-48.979993163313,1.8705146942466e-07,-6851198.1092904,-97.959986326626,-6853757.9219771
1874.3566452282,1231810736.0056,49269808000.224,0,1,65536,1319.4505472635,-50.553460495212,-1.4416401228345e-07,-7061788.997596,-101.10692099042,-7064427.8986908
1905.1408596756,1251429261.1588,50054549006.353,0,1,65536,1361.9974209272,-52.22306907099,1.7341932334602e-09,-7288519.9241692,-104.44613814198,-7291243.919011
1951.3171813466,1281378502.9069,51252518676.274,0,1,65536,1428.1611500142,-54.787963639199,7.7482866345235e-08,-7641551.9318402,-109.5759272784,-7644408.2541401
1985.9494225998,1302144597.3428,52083162453.71,0,1,65536,1475.0452801936,-56.606677527744,1.8301005866306e-07,-7891237.0917535,-113.21335505549,-7894187.1823135
2020.5816638531,1324197685.9097,52965285996.39,0,1,65536,1525.6989825778,-58.565116372078,-2.1973169239686e-07,-8160791.3006272,-117.13023274416,-8163842.6985928
2046.555844793,1339721151.3839,53586224615.356,0,1,65536,1562.0224669414,-59.969135769475,2.1537982064501e-07,-8353248.416231,-119.93827153895,-8356372.4611645
2072.530025733,1356243932.6959,54247135867.835,0,1,65536,1601.2504659934,-61.480523634878,4.6001446207811e-08,-8560558.814634,-122.96104726976,-8563761.3155659
2111.4912971429,1381496533.9453,55257239917.811,0,1,65536,1662.0993712263,-63.8175104212,6.3714296061335e-09,-8882311.5170774,-127.6350208424,-8885635.7158199
2140.7122507003,1399015792.2048,55958010248.19,0,1,65536,1705.530540659,-65.479360773161,-1.7178564348796e-08,-9109016.5411785,-130.95872154632,-9112427.6022598
2169.9332042578,1417622374.3536,56702273534.146,0,1,65536,1752.8563964783,-67.283126729639,-3.2881999345591e-08,-9352918.374974,-134.56625345928,-9356424.087767
2213.7646345939,1446041930.6905,57839055787.618,0,1,65536,1827.013529839,-70.093217502722,1.7629193393986e-07,-9731670.0071609,-140.18643500544,-9735324.0342202
2246.638207346,1465752393.7334,58627474309.335,0,1,65536,1885.089342128,-72.222021527966,-6.2356813614883e-06,-9998751.8981816,-144.44404305593,-10002522.076878
2279.5117800982,1486685231.1584,59464787806.337,0,1,65536,1118.3944513722,-40.238182028904,4.1313954994848e-06,-10288844.14772,-80.476364057807,-10291080.936614
