time,ElementInt_c,_dt,dofs,elasticity_c11_aux,eta_precip_area,linear_its,nonlinear_its,precipitate_area,stress_s11_aux,total_F
6.1738071888685,0.48097431465921,0.023757264018059,86807,3.0001100862842,347.17986766897,44,11,0,0,306.59006117001
6.1916251368821,0.30410754234399,0.017817948013544,76260,3.0000696046926,341.21256975525,51,13,0,0,296.28758285707
6.2016477326397,1.4524775237984,0.010022595757619,59042,3.0003324457223,337.92537377715,43,11,0,0,287.22288060606
6.2091646794579,1.6315225044233,0.0075169468182139,54374,3.0003734258662,335.95347831096,51,13,0,0,276.0987709389
6.2133929620431,1.9633397617345,0.0042282825852453,50229,3.0004493728092,335.30071463191,43,11,0,0,263.1648058556
6.2165641739821,1.6431912338578,0.003171211938934,42800,3.0003760966264,335.15558099423,47,12,0,0,243.95814127514
6.2183479806977,1.2566545500124,0.0017838067156504,39557,3.0002876254005,335.0730041127,39,10,0,0,216.65411701999
6.2196858357345,3.6633553557515,0.0013378550367378,37500,3.0008384754995,339.49066408187,43,11,0,0,174.87612882659
6.220689227012,6.4554384346587,0.0010033912775533,36007,3.0014775326007,341.76520125578,47,12,0,0,86.61523051187
6.2214417704702,10.9127333985,0.000752543458165,34918,3.0024977264553,339.36052105861,59,15,0,0,-160.37984209728
6.2218650761654,3.3256875732751,0.00042330569521781,34262,3.0007611894775,326.97178535722,63,13,0,0,-773.48207679425
6.222103185619,3.4770450922256,0.00023810945356002,34132,3.0007958324643,326.67825157504,53,11,0.5,0,-2060.4482786245
6.2222817677091,5.2719270483086,0.00017858209017001,34079,3.0012066483417,327.27583759078,68,14,0.9375,0,-6235.519719135
6.2223822201349,5.2721235288436,0.00010045242572063,34079,3.0012066933126,327.76411423826,63,13,1.5,0,-18341.062040555
6.2224387246243,6.7535294522772,5.6504489467856e-05,33983,3.0015457602201,328.89119438564,53,11,1.625,0,-50143.463783069
6.2224705083996,6.9544793413866,3.1783775325669e-05,33935,3.0015917539996,329.41792043462,50,9,1.5625,0,-121203.4444029
6.2224943462311,6.9749080281594,2.3837831494252e-05,33935,3.001596429755,330.52335990516,68,12,1.875,0,-356083.10168446
